time,massFlow,test,unit
"17400,02507","0,2591528251",2019_07_01,A1
"17460,02419","0,2552857984",2019_07_01,A1
"17520,0243","0,2538448393",2019_07_01,A1
"17580,02447","0,2544442651",2019_07_01,A1
"17640,02507","0,2567637866",2019_07_01,A1
"17700,02419","0,2524340476",2019_07_01,A1
"17760,02426","0,255747292",2019_07_01,A1
"17820,02493","0,2540344585",2019_07_01,A1
"17880,02502","0,2541174816",2019_07_01,A1
"17940,02416","0,2569725547",2019_07_01,A1
"18000,02479","0,2591617568",2019_07_01,A1
"18060,02477","0,2582925101",2019_07_01,A1
"18120,02444","0,2605317298",2019_07_01,A1
"18180,02456","0,2599988327",2019_07_01,A1
"18240,02422","0,2557710487",2019_07_01,A1
"18300,02421","0,2647191625",2019_07_01,A1
"18360,02441","0,2620261456",2019_07_01,A1
"18420,02707","0,2615431157",2019_07_01,A1
"18480,02646","0,2610249601",2019_07_01,A1
"18540,02646","0,2624070702",2019_07_01,A1
"18600,02687","0,2604790912",2019_07_01,A1
"18660,0271","0,2592030096",2019_07_01,A1
"18720,02703","0,2609331389",2019_07_01,A1
"18780,02678","0,2554921458",2019_07_01,A1
"18840,02654","0,2520603352",2019_07_01,A1
"18900,02638","0,2561106871",2019_07_01,A1
"18960,0273","0,2596298114",2019_07_01,A1
"19020,02736","0,2602791546",2019_07_01,A1
"19080,02723","0,2520756109",2019_07_01,A1
"19140,02837","0,2594305593",2019_07_01,A1
"19200,02846","0,2548169258",2019_07_01,A1
"19260,02857","0,2563008405",2019_07_01,A1
"19320,02827","0,2610041417",2019_07_01,A1
"19380,02899","0,2488744718",2019_07_01,A1
"19440,02903","0,2553398728",2019_07_01,A1
"19500,02811","0,2491413044",2019_07_01,A1
"19560,02822","0,2511716057",2019_07_01,A1
"19620,02829","0,2492003705",2019_07_01,A1
"19680,02812","0,2493485366",2019_07_01,A1
"19740,02815","0,251311007",2019_07_01,A1
"19800,0283","0,2502066478",2019_07_01,A1
"19860,02838","0,2553016752",2019_07_01,A1
"19920,02957","0,2507168568",2019_07_01,A1
"19980,03062","0,2465854517",2019_07_01,A1
"20040,03038","0,2477744367",2019_07_01,A1
"20100,03106","0,2534977049",2019_07_01,A1
"20160,03114","0,2563725446",2019_07_01,A1
"20220,03016","0,2498375264",2019_07_01,A1
"20280,03014","0,2509622031",2019_07_01,A1
"20340,0308","0,2424894228",2019_07_01,A1
"20400,03082","0,244096545",2019_07_01,A1
"20460,03095","0,2505730647",2019_07_01,A1
"20520,03074","0,2476458368",2019_07_01,A1
"20580,03197","0,2480886656",2019_07_01,A1
"20640,03205","0,2480960113",2019_07_01,A1
"20700,03113","0,2469004153",2019_07_01,A1
