time,massFlow,signal,unit,anomaly
25200.03426795,0.256055878173544,2019_07_01,A1,0
25260.03429795,0.256881434641339,2019_07_01,A1,0
25320.03426795,0.24933654975174,2019_07_01,A1,0
25380.03434795,0.24847750357668,2019_07_01,A1,0
25440.03440795,0.248756072537445,2019_07_01,A1,0
25500.03444795,0.252345114560163,2019_07_01,A1,0
25560.03452795,0.244688074194913,2019_07_01,A1,0
25620.03457795,0.246806774272404,2019_07_01,A1,0
25680.03460795,0.24167087816186,2019_07_01,A1,0
25740.03466795,0.244584199324987,2019_07_01,A1,0
25800.03472795,0.242950014885212,2019_07_01,A1,0
25860.03478795,0.247511327024798,2019_07_01,A1,0
25920.03481795,0.244826273501662,2019_07_01,A1,0
25980.03479795,0.249475533707634,2019_07_01,A1,0
26040.03485795,0.246335313937178,2019_07_01,A1,0
26100.03498795,0.242243709178339,2019_07_01,A1,0
26160.03501795,0.246932736340759,2019_07_01,A1,0
26220.03503795,0.243206463288616,2019_07_01,A1,0
26280.03611795,0.241154041415853,2019_07_01,A1,0
26340.03518795,0.239423544864623,2019_07_01,A1,0
26400.03516795,0.240162739257794,2019_07_01,A1,0
26460.03525795,0.238777574066738,2019_07_01,A1,0
26520.03773795,0.240437935885376,2019_07_01,A1,0
26580.03731795,0.241966475807274,2019_07_01,A1,0
26640.03736795,0.237341573251804,2019_07_01,A1,0
26700.03743795,0.24003989914857,2019_07_01,A1,0
26760.03745795,0.244713049559853,2019_07_01,A1,0
26820.03748795,0.243951016706049,2019_07_01,A1,0
26880.03753795,0.241406950523357,2019_07_01,A1,0
26940.03770795,0.239976459001932,2019_07_01,A1,0
27000.03772795,0.239821130849709,2019_07_01,A1,0
27060.03762795,0.243559440846605,2019_07_01,A1,0
27120.03766795,0.243352208632356,2019_07_01,A1,0
27180.03768795,0.238897359046733,2019_07_01,A1,0
27240.03771795,0.244676304373701,2019_07_01,A1,0
27300.03783795,0.246670611709138,2019_07_01,A1,0
27360.03738795,0.242217782201536,2019_07_01,A1,0
27420.03742795,0.235465331328825,2019_07_01,A1,0
27480.03750795,0.236697839547059,2019_07_01,A1,0
27540.03752795,0.240744652222614,2019_07_01,A1,0
27600.03761795,0.244558856647671,2019_07_01,A1,0
27660.03733795,0.246757474615895,2019_07_01,A1,0
27720.03744795,0.240940815797442,2019_07_01,A1,0
27780.03742795,0.248520125312698,2019_07_01,A1,0
27840.03733795,0.24400589242995,2019_07_01,A1,0
27900.03742795,0.241817825547534,2019_07_01,A1,0
